Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score,🙈 AnalystTargetPrice
NYSEAMERICAN:CTM,2 Feb 2026,$3.50,1,$3.50,3,,$0.64,446.88%,,,,$0.57,-10.94%,$0.82,28.15%,$1.26,96.88%,CTM,NYSEAMERICAN:CTM,-0.364,$3.50
NYSE:CTRA,2 Nov 2025,$26.29,4,$32.29,7,,$34.56,-23.93%,,,,$33.56,-2.89%,$41.76,20.84%,$73.14,111.62%,CTRA,NYSE:CTRA,-0.718,$37.32
NYSE:CTS,2 Feb 2026,$52.59,3,,6,,$48.34,8.79%,,,,$46.97,-2.83%,$90.63,87.49%,$106.64,120.60%,CTS,NYSE:CTS,-0.556,$54.00
NASDAQ:CTSH,4 Feb 2026,$83.87,4,,,,$62.54,34.11%,,,,$64.23,2.70%,$115.12,84.07%,$126.86,102.85%,CTSH,NASDAQ:CTSH,0.130,$87.18
NYSE:CUBI,19 Nov 2025,$67.11,3,$85.43,9,,$70.41,-4.69%,,,,$72.07,2.36%,-$525.42,-846.22%,-$510.27,-824.72%,CUBI,NYSE:CUBI,0.016,$88.91
NYSE:CUK,4 Mar 2026,$35.10,4,,2,,$25.58,37.20%,,,,$26.63,4.10%,$13.69,-46.48%,$264.51,934.05%,CUK,NYSE:CUK,0.259,$35.00
NASDAQ:CURI,23 Dec 2025,$4.18,3,$6.33,10,,$3.03,37.95%,,,,$2.88,-4.95%,$4.80,58.39%,$7.64,152.05%,CURI,NASDAQ:CURI,-0.128,$6.17
NASDAQ:CVBF,30 Mar 2026,$22.06,3,$24.17,4,3,$19.66,12.21%,12.21%,$22.06,$24.17,$20.19,2.70%,-$63.38,-422.38%,-$62.53,-418.07%,CVBF,NASDAQ:CVBF,0.282,$22.62
NYSE:CVE,24 Oct 2025,$19.68,3,$20.01,4,,$26.56,-25.90%,,,,$25.84,-2.71%,$32.95,24.04%,$63.04,137.35%,CVE,NYSE:CVE,-0.640,$28.38
NYSE:CVI,23 Aug 2024,$33.80,3,,,,$31.65,6.78%,,,,$31.77,0.38%,$42.46,34.16%,$94.30,197.94%,CVI,NYSE:CVI,-0.129,$29.67
NASDAQ:CVLT,26 Jan 2026,$137.85,3,$174.58,8,,$79.93,72.46%,,,,$76.80,-3.92%,$75.78,-5.20%,$81.59,2.08%,CVLT,NASDAQ:CVLT,-0.279,$138.38
NASDAQ:CVRX,4 Dec 2025,$11.33,4,$12.67,7,,$9.01,25.76%,,,,$8.70,-3.44%,$5.46,-39.40%,$5.52,-38.73%,CVRX,NASDAQ:CVRX,-0.327,$11.17
NYSE:CVS,16 Oct 2025,$91.02,5,$86.60,8,,$73.49,17.84%,,,,$72.70,-1.07%,$13.05,-82.24%,$47.24,-35.72%,CVS,NYSE:CVS,-0.226,$96.42
NYSE:CVX,20 Aug 2025,$174.36,4,$171.33,9,,$198.97,-13.89%,,,,$198.07,-0.45%,$239.65,20.45%,$480.46,141.47%,CVX,NYSE:CVX,-0.459,$203.00
NYSE:CW,17 May 2024,$250.04,2,,,,$694.88,-64.02%,,,,$720.57,3.70%,"$1,176.75",69.35%,"$1,236.05",77.88%,CW,NYSE:CW,0.134,$712.86
NYSE:CWAN,26 Jan 2026,$25.43,3,$27.15,4,,$23.80,6.85%,,,,$23.81,0.04%,$32.26,35.54%,$38.56,62.02%,CWAN,NYSE:CWAN,-0.319,$24.47
NASDAQ:CWCO,13 Nov 2025,$34.36,3,,8,,$33.99,1.09%,,,,$34.82,2.44%,$55.94,64.58%,"$29,002,947.51",85327783.22%,CWCO,NASDAQ:CWCO,0.198,$43.00
NYSE:CWH,19 Sep 2025,$21.04,3,$19.56,7,,$6.48,201.85%,,,,$6.23,-3.86%,$55.26,752.81%,$72.31,1015.93%,CWH,NYSE:CWH,-0.346,$14.58
NYSE:CX,19 Jun 2025,$8.65,3,$7.31,8,,$11.23,-34.91%,,,,$11.13,-0.89%,$32.88,192.77%,$48.46,331.54%,CX,NYSE:CX,-0.154,$13.58
NASDAQ:CXAI,4 Feb 2026,$0.59,3,,,,$0.18,228.89%,,,,$0.16,-11.11%,-$0.50,-375.38%,-$0.31,-273.48%,CXAI,NASDAQ:CXAI,-0.499,$1.00
NYSE:CXT,11 Nov 2025,$76.10,5,$74.00,8,,$40.19,84.13%,,,,$43.06,7.14%,$71.09,76.88%,$90.24,124.52%,CXT,NYSE:CXT,0.299,$73.00
NYSE:CYD,15 Dec 2025,$33.36,3,,7,,$39.41,-15.35%,,,,$37.57,-4.67%,$0.00,-100.00%,$0.00,-100.00%,CYD,NYSE:CYD,-0.240,$55.06
NYSE:DAC,5 Mar 2026,$126.35,3,,,,$115.43,9.46%,,,,$114.58,-0.74%,$236.55,104.93%,$343.98,198.00%,DAC,NYSE:DAC,-0.109,$109.00
NYSE:DAL,18 Sep 2025,$41.35,2,,,,$66.76,-38.06%,,,,$64.19,-3.85%,$115.25,72.63%,$181.78,172.28%,DAL,NYSE:DAL,-0.452,$79.45
NYSE:DAVA,9 Feb 2026,$13.03,3,$10.00,3,,$4.53,120.75%,,,,$4.23,-6.62%,$26.26,479.60%,$43.35,856.93%,DAVA,NYSE:DAVA,-0.557,$8.89
NASDAQ:DAVE,11 Feb 2026,$175.69,3,$312.50,9,,$172.70,1.73%,,,,$167.78,-2.85%,$526.68,204.97%,$535.67,210.17%,DAVE,NASDAQ:DAVE,-0.247,$318.00
NYSE:DB,2 Apr 2026,$30.42,3,$41.60,10,3.75,$29.77,2.18%,2.18%,$30.42,$45.00,$30.69,3.09%,$180.03,504.75%,$227.67,664.75%,DB,NYSE:DB,0.333,$45.00
NYSE:DBI,4 Feb 2026,$8.49,3,$6.25,2,,$5.92,5.57%,,,,$6.05,2.20%,$6.06,2.30%,$24.57,315.10%,DBI,NYSE:DBI,0.214,$6.50
NASDAQ:DBX,11 Feb 2026,$25.55,3,,,,$23.40,9.19%,,,,$23.08,-1.37%,$55.94,139.06%,$66.30,183.33%,DBX,NASDAQ:DBX,-0.128,$25.50
NYSE:DCI,6 Nov 2025,$76.88,2,,,,$85.23,-9.80%,,,,$88.58,3.93%,$88.43,3.76%,$98.55,15.63%,DCI,NYSE:DCI,0.208,$96.40
NASDAQ:DCOM,2 Oct 2025,$31.72,3,$36.00,5,,$34.22,-7.31%,,,,$33.61,-1.78%,-$189.98,-655.18%,-$188.69,-651.40%,DCOM,NASDAQ:DCOM,-0.032,$39.60
NASDAQ:DCTH,11 Dec 2025,$11.63,3,$24.00,6,,$9.63,20.78%,,,,$9.25,-3.95%,$19.21,99.45%,$19.36,101.02%,DCTH,NASDAQ:DCTH,-0.546,$21.33
NYSE:DD,10 Feb 2026,$46.81,3,$48.40,7,,$45.48,2.93%,,,,$69.41,52.62%,$65.97,45.04%,$47.42,4.27%,DD,NYSE:DD,1.000,$55.79
NYSE:DDD,19 Nov 2025,$2.85,3,$3.63,6,,$1.85,54.05%,,,,$1.82,-1.62%,-$0.99,-153.42%,$2.16,16.77%,DDD,NYSE:DDD,-0.371,$3.75
NASDAQ:DDOG,18 Aug 2025,$131.92,3,$161.38,8,,$120.36,9.61%,,,,$113.99,-5.29%,$160.55,33.39%,$163.18,35.57%,DDOG,NASDAQ:DDOG,-0.395,$181.52
NYSE:DDS,21 May 2024,$424.51,3,,,,$572.36,-25.83%,,,,$552.92,-3.40%,"$1,139.89",99.16%,"$1,299.47",127.04%,DDS,NYSE:DDS,-0.447,$519.67
NYSE:DEA,13 Nov 2025,$33.12,3,$23.30,4,,$21.68,7.47%,,,,$20.71,-4.47%,$6.51,-69.95%,$30.17,39.18%,DEA,NYSE:DEA,-0.733,$24.25
NYSE:DECK,20 Mar 2026,$131.38,3,$124.47,4,3,$98.31,26.61%,26.61%,$124.47,$131.38,$103.45,5.23%,$551.20,460.68%,$559.74,469.36%,DECK,NYSE:DECK,0.250,$128.52
NYSE:DEO,20 Mar 2026,$109.50,3,$107.50,8,3,$73.32,46.62%,46.62%,$105.29,$109.50,$73.78,0.63%,$0.00,-100.00%,$0.00,-100.00%,DEO,NYSE:DEO,-0.134,$105.29
NASDAQ:DFDV,3 Jun 2025,$23.65,3,,,,$3.55,566.25%,,,,$3.15,-11.27%,-$7.97,-324.47%,-$7.93,-323.52%,DFDV,NASDAQ:DFDV,-0.870,$7.50
NYSE:DFH,26 Mar 2025,$30.22,3,$32.00,4,,$14.07,114.79%,,,,$14.78,5.05%,$78.30,456.49%,$86.71,516.25%,DFH,NYSE:DFH,0.151,$22.00
NASDAQ:DGII,29 Jan 2026,$43.01,3,$48.80,7,,$49.96,-13.90%,,,,$51.09,2.26%,$105.29,110.74%,$112.14,124.46%,DGII,NASDAQ:DGII,0.177,$50.50
NYSE:DGX,29 Jul 2024,$148.07,3,,,,$198.02,-25.22%,,,,$198.90,0.44%,$246.17,24.32%,$449.86,127.18%,DGX,NYSE:DGX,-0.017,$218.50
NYSE:DHI,30 Mar 2026,$153.09,5,$160.15,3,3.75,$139.69,9.59%,9.59%,$153.09,$160.15,$143.67,2.85%,$226.95,62.47%,$230.66,65.13%,DHI,NYSE:DHI,0.176,$160.13
NYSE:DHR,13 Nov 2025,$244.54,3,$243.45,9,,$191.12,27.38%,,,,$189.73,-0.73%,$248.06,29.79%,$278.56,45.75%,DHR,NYSE:DHR,-0.191,$264.91
NASDAQ:DIOD,28 Jan 2026,$63.86,3,$58.67,7,,$68.58,-14.45%,,,,$70.89,3.37%,$79.43,15.82%,$110.37,60.94%,DIOD,NASDAQ:DIOD,0.107,$75.67
NASDAQ:DJCO,11 Feb 2026,$662.32,3,,5,,$517.94,27.88%,,,,$488.12,-5.76%,$580.74,12.12%,$583.29,12.62%,DJCO,NASDAQ:DJCO,-0.163,
NYSE:DKL,10 Apr 2025,$44.97,1,,,,$50.28,-10.56%,,,,$49.81,-0.93%,$1.75,-96.51%,$38.23,-23.97%,DKL,NYSE:DKL,-0.498,$49.00
NASDAQ:DKNG,18 Aug 2025,$46.45,3,$54.69,7,,$23.16,100.56%,,,,$22.13,-4.45%,$47.33,104.37%,$55.04,137.66%,DKNG,NASDAQ:DKNG,-0.049,$36.13
NYSE:DLX,3 Jun 2025,$20.45,4,$23.00,7,,$27.67,-26.10%,,,,$27.28,-1.41%,$97.62,252.80%,$149.57,440.53%,DLX,NYSE:DLX,-0.456,$32.67
NASDAQ:DMLP,20 Sep 2025,$25.83,1,$25.30,1,,$27.97,-9.55%,,,,$27.84,-0.46%,$57.36,105.07%,$70.82,153.19%,DMLP,NASDAQ:DMLP,-0.361,
NASDAQ:DMRC,14 Jan 2026,$14.02,3,$10.00,2,,$5.69,75.75%,,,,$4.80,-15.64%,$4.30,-24.37%,$7.10,24.70%,DMRC,NASDAQ:DMRC,-0.445,$8.00
NYSEAMERICAN:DNN,31 Jul 2024,$1.76,0,,,,$3.66,-51.91%,,,,$3.49,-4.64%,$3.28,-10.50%,$3.21,-12.17%,DNN,NYSEAMERICAN:DNN,-0.270,$4.88
NASDAQ:DNUT,22 Dec 2023,$17.24,4,,,,$3.40,407.00%,,,,$3.50,2.94%,$0.68,-80.12%,$14.47,325.68%,DNUT,NASDAQ:DNUT,0.161,$4.35
NYSE:DOLE,6 Mar 2026,$17.35,3,$14.00,4,,$14.56,-3.85%,,,,$14.24,-2.20%,$9.32,-35.99%,$21.37,46.80%,DOLE,NYSE:DOLE,-0.180,$16.95
NYSE:DOV,11 Nov 2025,$186.11,3,$210.90,7,,$205.38,-9.38%,,,,$211.89,3.17%,$309.59,50.74%,$340.43,65.76%,DOV,NYSE:DOV,0.083,$231.82
NASDAQ:DOX,1 Apr 2026,$83.46,5,$92.33,7,3.5,$66.43,25.63%,25.63%,$83.46,$92.33,$64.67,-2.65%,$121.28,82.57%,$142.71,114.83%,DOX,NASDAQ:DOX,-0.440,$90.57
NASDAQ:DOYU,2 Apr 2025,$7.06,3,$9.75,9,,$4.82,46.39%,,,,,-100.00%,-$2.00,-141.49%,-$2.00,-141.49%,DOYU,NASDAQ:DOYU,-2.000,
NASDAQ:DPZ,9 Apr 2025,$433.44,3,$487.39,9,,$370.82,16.89%,,,,$378.61,2.10%,$570.12,53.75%,$626.08,68.84%,DPZ,NASDAQ:DPZ,0.072,$476.55
NYSE:DQ,9 Feb 2026,$22.12,3,$28.07,5,,$21.11,4.78%,,,,$20.59,-2.46%,$55.49,162.86%,$329.22,1459.56%,DQ,NYSE:DQ,-0.167,$32.11
NYSE:DRD,28 Feb 2024,$9.55,4,,,,$31.20,-69.40%,,,,$29.15,-6.57%,$0.00,-100.00%,$0.00,-100.00%,DRD,NYSE:DRD,-0.588,$46.50
NYSE:DRH,23 Dec 2025,$11.46,5,$9.65,3,,$9.41,2.55%,,,,,-100.00%,-$2.00,-121.25%,-$2.00,-121.25%,DRH,NASDAQ:DRH,-2.000,
NYSE:DRI,18 Sep 2025,$167.77,1,,,,$196.33,-14.55%,,,,$190.05,-3.20%,$447.59,127.98%,$532.94,171.45%,DRI,NYSE:DRI,-0.485,$226.04
NASDAQ:DRVN,4 Apr 2025,$17.90,3,$19.91,7,,$12.34,45.06%,,,,,-100.00%,-$2.00,-116.21%,-$2.00,-116.21%,DRVN,NASDAQ:DRVN,-2.000,
NYSE:DSX,5 Mar 2026,$3.21,4,,,,$2.56,25.39%,,,,$2.49,-2.73%,$1.16,-54.65%,$1.66,-34.98%,DSX,NYSE:DSX,-0.036,$3.80
NYSE:DT,10 Feb 2026,$53.18,3,$54.08,8,,$37.69,41.11%,,,,$36.27,-3.77%,$45.78,21.48%,$47.04,24.81%,DT,NYSE:DT,-0.470,$49.72
NYSE:DUK,19 Sep 2025,$124.46,3,$130.90,7,,$132.22,-5.87%,,,,$132.60,0.29%,-$28.07,-121.23%,$43.22,-67.31%,DUK,NYSE:DUK,-0.067,$138.29
NASDAQ:DUOL,8 Feb 2026,$234.17,3,$232.22,4,,$96.54,140.54%,,,,$94.92,-1.68%,$231.96,140.28%,$236.67,145.15%,DUOL,NASDAQ:DUOL,-0.207,$105.73
NASDAQ:DVLT,14 Jan 2026,$1.31,3,,,,$0.72,82.63%,,,,$0.63,-12.50%,$0.59,-18.71%,$0.80,10.57%,DVLT,NASDAQ:DVLT,-0.477,$3.00
NYSE:DVN,27 Jan 2026,$43.47,4,$43.37,10,,$49.49,-12.37%,,,,$48.54,-1.92%,$63.65,28.62%,$114.49,131.33%,DVN,NYSE:DVN,-0.488,$56.04
NASDAQ:DXCM,11 Dec 2025,$71.56,4,$85.74,7,,$62.22,15.01%,,,,$63.87,2.65%,$90.03,44.69%,$101.64,63.35%,DXCM,NASDAQ:DXCM,0.036,$87.12
NYSE:DY,23 Aug 2024,$143.30,1,,,,$348.15,-58.84%,,,,$330.85,-4.97%,$977.81,180.86%,"$1,172.09",236.66%,DY,NYSE:DY,-0.615,$467.91
NASDAQ:EA,2 Jan 2026,$198.31,3,,,,$203.60,-2.60%,,,,$207.57,1.95%,$420.89,106.73%,$434.47,113.39%,EA,NASDAQ:EA,0.143,$205.59
NASDAQ:EBAY,22 Feb 2026,$73.85,1,$99.00,7,,$94.14,-21.55%,,,,$97.98,4.08%,$124.48,32.23%,$137.70,46.27%,EBAY,NASDAQ:EBAY,0.582,$99.13
NASDAQ:EBC,8 Oct 2025,$18.58,3,,,,$19.85,-6.40%,,,,$20.47,3.12%,-$80.56,-505.86%,-$77.15,-488.68%,EBC,NASDAQ:EBC,0.439,$23.25
NYSE:EBF,1 Sep 2025,$23.80,4,,4,,$21.69,9.73%,,,,$21.08,-2.81%,$46.98,116.61%,$54.11,149.45%,EBF,NYSE:EBF,-0.784,$24.00
NYSE:EBS,5 Jan 2026,$13.61,3,$15.00,5,,$8.23,65.41%,,,,$8.06,-2.07%,$56.38,585.03%,$81.52,890.57%,EBS,NYSE:EBS,-0.461,$12.00
NYSE:ECO,5 Mar 2026,$47.32,2,,,,$51.75,-8.56%,,,,$50.77,-1.89%,$113.56,119.44%,$56.39,8.96%,ECO,NYSE:ECO,-0.150,$55.00
NASDAQ:ECPG,22 Jan 2026,$61.28,3,$64.25,5,,$71.14,-13.85%,,,,$70.11,-1.45%,-$83.45,-217.31%,-$59.84,-184.12%,ECPG,NASDAQ:ECPG,-0.008,$82.67
NASDAQ:ECX,10 Sep 2025,$1.94,4,,3,,$1.05,85.14%,,,,$1.02,-2.86%,-$1.23,-217.51%,-$1.35,-228.91%,ECX,NASDAQ:ECX,-0.477,$3.68
NYSE:ED,16 Sep 2025,$102.44,3,$102.88,2,,$115.43,-11.26%,,,,$114.04,-1.20%,-$2.10,-101.82%,$112.10,-2.89%,ED,NYSE:ED,-0.489,$110.88
NYSE:EDN,16 Dec 2025,$46.50,3,,5,,$30.56,52.16%,,,,$29.18,-4.52%,"-$4,304.50",-14185.42%,"-$2,234.45",-7411.68%,EDN,NYSE:EDN,-0.743,$38.50
NYSE:EDU,19 Aug 2025,$59.25,3,,,,$56.42,5.02%,,,,$56.20,-0.39%,$197.07,249.29%,$201.01,256.27%,EDU,NYSE:EDU,-0.378,$68.34
NASDAQ:EEFT,11 Feb 2026,$105.16,3,$96.80,7,,$64.05,51.13%,,,,$64.26,0.33%,$198.05,209.22%,$264.35,312.73%,EEFT,NASDAQ:EEFT,-0.221,$87.00
NYSE:EFX,10 May 2024,$252.67,3,,,,$182.39,38.53%,,,,$176.55,-3.20%,$226.78,24.34%,$287.08,57.40%,EFX,NYSE:EFX,-0.576,$236.55
NASDAQ:EGAN,28 Jan 2026,$10.58,3,$15.17,6,,$7.82,35.29%,,,,$7.45,-4.73%,$25.26,223.06%,$26.07,233.33%,EGAN,NASDAQ:EGAN,-0.230,$14.50
NASDAQ:EGBN,23 Dec 2025,$22.58,3,$18.50,6,,$25.56,-27.62%,,,,$26.18,2.43%,-$218.56,-955.09%,-$217.36,-950.38%,EGBN,NASDAQ:EGBN,0.260,$27.12
NASDAQ:EGHT,22 Jan 2026,$2.71,3,$2.25,3,,$1.74,29.31%,,,,$1.67,-4.02%,$3.35,92.78%,$4.00,129.89%,EGHT,NASDAQ:EGHT,-0.110,$2.31
NYSE:EGY,26 Aug 2025,$6.31,3,,,,$6.26,0.73%,,,,$6.18,-1.28%,$17.88,185.56%,$33.69,438.19%,EGY,NYSE:EGY,-0.545,$8.43
NASDAQ:EH,3 Sep 2025,$17.27,3,,,,$10.36,66.65%,,,,$9.78,-5.60%,$0.00,-100.00%,$0.00,-100.00%,EH,NASDAQ:EH,-0.372,$19.72
NYSE:EHC,31 Dec 2025,$95.51,2,$145.00,8,,$97.39,-1.93%,,,,$99.91,2.59%,$139.63,43.37%,$205.38,110.88%,EHC,NYSE:EHC,0.273,$142.73
NYSE:EIX,30 Mar 2026,$76.29,4,$72.36,3,3,$73.46,-1.50%,-1.50%,$72.36,$76.29,$73.97,0.69%,-$17.64,-124.02%,-$32.86,-144.73%,EIX,NYSE:EIX,-0.057,$74.19
NYSE:EL,18 Aug 2025,$118.27,3,$95.25,6,,$69.12,37.80%,,,,$66.55,-3.72%,$197.33,185.49%,$240.06,247.31%,EL,NYSE:EL,-0.324,$104.18
NYSE:ELF,18 Aug 2025,$118.35,3,,,,$61.16,93.50%,,,,$59.17,-3.25%,$102.71,67.93%,$126.52,106.86%,ELF,NYSE:ELF,-0.141,$107.00
NYSE:ELME,16 Feb 2026,$2.75,4,,3,,$2.05,33.93%,,,,$3.09,50.73%,-$1.64,-180.09%,$6.03,194.37%,ELME,NYSE:ELME,1.000,$18.00
NYSE:ELP,13 Feb 2025,$6.84,3,$8.20,6,,#N/A,#N/A,,,,,#N/A,-$2.00,#N/A,-$2.00,#N/A,ELP,NYSE:ELP,-2.000,
NYSE:ELS,19 Sep 2025,$70.10,5,$67.65,7,,$63.99,5.72%,,,,$63.42,-0.89%,$70.99,10.94%,$90.04,40.72%,ELS,NYSE:ELS,-0.371,$69.86
NASDAQ:ELVR,11 Dec 2025,$44.92,3,,,,$58.91,-23.75%,,,,,-100.00%,-$2.00,-103.40%,-$2.00,-103.40%,ELVR,NASDAQ:ELVR,-2.000,
NYSE:EME,23 Aug 2025,$518.72,1,$670.50,8,,$756.30,-31.41%,,,,$738.24,-2.39%,"$1,374.63",81.76%,"$1,450.37",91.77%,EME,NYSE:EME,-0.449,$864.17
NYSE:EMR,19 Nov 2025,$120.30,2,$146.64,9,,$131.70,-8.65%,,,,$135.40,2.81%,$137.48,4.39%,$163.30,24.00%,EMR,NYSE:EMR,0.037,$165.87
NYSE:ENB,19 Aug 2025,$43.53,2,,,,$54.15,-19.61%,,,,$54.14,-0.02%,-$6.44,-111.89%,$49.60,-8.40%,ENB,NYSE:ENB,-0.245,$49.93
NYSE:ENOV,11 Dec 2025,$37.01,3,$49.00,5,,$22.64,63.49%,,,,$22.24,-1.77%,$15.54,-31.36%,$108.95,381.22%,ENOV,NYSE:ENOV,-0.357,$45.18
NYSE:ENS,11 Mar 2026,$152.00,3,,,3,$177.35,-14.29%,-14.29%,$152.00,$189.09,$183.50,3.47%,$432.21,143.70%,$487.46,174.86%,ENS,NYSE:ENS,0.222,$189.09
NASDAQ:ENSG,3 Jul 2025,$137.40,2,,,,$196.62,-30.12%,,,,$204.99,4.26%,$299.61,52.38%,$332.03,68.87%,ENSG,NASDAQ:ENSG,0.478,$220.40
NASDAQ:ENTG,9 Feb 2026,$124.28,3,$123.14,3,,$116.40,5.79%,,,,$124.15,6.66%,$139.33,19.70%,$162.86,39.92%,ENTG,NASDAQ:ENTG,0.615,$141.40
NASDAQ:ENVX,20 Aug 2025,$9.75,3,,,,$5.06,92.63%,,,,$5.19,2.57%,"-$2,293.60",-45428.16%,"-$2,293.16",-45419.37%,ENVX,NASDAQ:ENVX,0.275,$14.45
NYSE:EOG,21 Sep 2025,$130.14,5,$141.91,7,,$142.64,-8.76%,,,,$139.90,-1.92%,$191.39,34.18%,$221.00,54.93%,EOG,NYSE:EOG,-0.627,$147.60
NYSE:EPAC,11 Nov 2025,$44.87,3,$51.00,1,,$35.44,26.62%,,,,$36.84,3.95%,$45.59,28.63%,$41.03,15.78%,EPAC,NYSE:EPAC,0.064,$50.50
NYSE:EPAM,26 Mar 2026,$178.81,3,$199.40,8,3.25,$137.99,29.58%,29.58%,$178.81,$199.40,$135.94,-1.49%,$314.54,127.94%,$343.95,149.26%,EPAM,NYSE:EPAM,-0.013,$191.18
NYSE:EQBK,16 Mar 2026,$41.43,3,$52.50,4,3,$44.70,-7.32%,-7.32%,$41.43,$52.50,$46.02,2.95%,-$165.25,-469.68%,-$160.48,-459.01%,EQBK,NYSE:EQBK,0.336,$52.33
NYSE:EQNR,9 Sep 2025,$26.30,4,$25.60,9,,$41.75,-38.68%,,,,$40.88,-2.08%,$87.05,108.50%,$35.00,-16.17%,EQNR,NYSE:EQNR,-0.647,$34.92
NYSE:EQT,20 Aug 2025,$46.57,2,,,,$59.70,-22.00%,,,,$59.28,-0.70%,$89.96,50.69%,$158.31,165.18%,EQT,NYSE:EQT,-0.512,$67.73
NASDAQ:ERIC,19 Jan 2026,$9.39,3,,6,,$11.62,-19.19%,,,,$11.86,2.07%,$40.75,250.66%,$46.01,295.91%,ERIC,NASDAQ:ERIC,0.166,$10.65
NASDAQ:ERII,4 Sep 2025,$16.86,3,$17.00,6,,$10.20,65.30%,,,,$10.58,3.73%,$15.27,49.73%,$20.03,96.39%,ERII,NASDAQ:ERII,0.035,$14.00
NYSE:ERO,2 Sep 2025,$21.17,3,$18.76,5,,$28.10,-33.24%,,,,$26.13,-7.01%,$49.55,76.32%,$79.49,182.89%,ERO,NYSE:ERO,-0.650,$35.63
NYSE:ESAB,23 Dec 2025,$119.83,3,$147.33,7,,$98.37,21.82%,,,,$102.52,4.22%,$110.66,12.50%,$126.85,28.95%,ESAB,NYSE:ESAB,0.122,$145.78
NYSE:ESE,29 Jan 2026,$185.93,2,$275.00,4,,$292.28,-36.39%,,,,$278.49,-4.72%,$417.14,42.72%,$484.79,65.87%,ESE,NYSE:ESE,-0.728,$306.67
NASDAQ:ESEA,5 Mar 2026,$65.04,3,,,,$67.28,-3.33%,,,,$66.59,-1.03%,$226.68,236.92%,$264.73,293.47%,ESEA,NASDAQ:ESEA,-0.133,$85.00
NASDAQ:ESLT,24 Oct 2025,$494.42,3,,,,$888.97,-44.38%,,,,$878.81,-1.14%,"$1,030.74",15.95%,"$1,095.92",23.28%,ESLT,NASDAQ:ESLT,-0.433,$754.67
NYSE:ESNT,9 Apr 2024,$58.67,3,,,,$59.16,-0.82%,,,,$58.26,-1.52%,$137.81,132.95%,$138.35,133.86%,ESNT,NYSE:ESNT,-0.338,$68.06
NASDAQ:ESQ,21 Oct 2025,$91.76,3,$110.00,5,,$108.95,-15.78%,,,,$108.16,-0.73%,-$11.34,-110.41%,$5.82,-94.66%,ESQ,NASDAQ:ESQ,-0.078,$123.33
NYSE:ESS,16 Sep 2025,$294.27,5,$293.97,7,,$247.34,18.85%,,,,$242.79,-1.84%,$350.67,41.78%,$518.73,109.72%,ESS,NYSE:ESS,-0.230,$279.22
NASDAQ:ESTA,4 Dec 2025,$72.19,3,$71.75,6,,$58.31,23.05%,,,,$57.23,-1.85%,$42.24,-27.55%,$42.99,-26.27%,ESTA,NASDAQ:ESTA,-0.327,$89.00
NYSE:ESTC,19 Aug 2025,$94.39,3,$107.50,2,,$50.67,86.29%,,,,$48.44,-4.40%,$58.97,16.38%,$60.15,18.72%,ESTC,NYSE:ESTC,-0.267,$82.12
NYSE:ET,29 Aug 2025,$15.01,5,$13.92,6,,$18.93,-26.47%,,,,$18.98,0.26%,$12.67,-33.06%,$12.97,-31.50%,ET,NYSE:ET,-0.373,$22.07
NYSE:ETD,11 Nov 2024,$36.07,4,,,,$22.26,62.02%,,,,$22.00,-1.17%,$42.34,90.20%,$48.35,117.22%,ETD,NYSE:ETD,-0.261,$27.00
NYSE:ETN,11 Nov 2025,$317.45,1,,,,$361.10,-12.09%,,,,$375.75,4.06%,$605.06,67.56%,$650.78,80.22%,ETN,NYSE:ETN,0.370,$410.17
NYSE:ETR,24 Oct 2025,$79.12,1,,,,$114.90,-31.14%,,,,$113.91,-0.86%,$8.68,-92.44%,$52.77,-54.07%,ETR,NYSE:ETR,-0.228,$113.56
NASDAQ:EVCM,9 Feb 2026,$14.79,3,$12.00,3,,$11.71,2.48%,,,,$11.12,-5.04%,$12.64,7.92%,$18.07,54.29%,EVCM,NASDAQ:EVCM,-0.328,$10.93
NYSE:EVTC,11 Feb 2026,$34.62,3,$30.50,4,,$28.07,8.66%,,,,$27.29,-2.78%,$49.81,77.44%,$72.51,158.32%,EVTC,NYSE:EVTC,-0.559,$32.60
NYSE:EVTL,1 Sep 2025,$5.43,3,$11.60,5,,$2.28,138.16%,,,,$2.07,-9.21%,-$2.21,-197.04%,-$2.13,-193.63%,EVTL,NYSE:EVTL,-0.268,$9.85
NYSE:EW,11 Dec 2025,$87.08,3,$95.29,8,,$81.05,7.44%,,,,$80.06,-1.22%,$102.60,26.59%,$105.50,30.17%,EW,NYSE:EW,-0.220,$96.93
NASDAQ:EWBC,18 Mar 2026,$117.29,3,,,3.25,$108.99,7.62%,7.62%,$117.29,$130.31,$111.41,2.22%,-$68.16,-162.54%,$14.69,-86.52%,EWBC,NASDAQ:EWBC,0.199,$130.31
NASDAQ:EXC,21 Sep 2025,$40.41,2,$47.67,6,,$49.33,-18.08%,,,,$49.53,0.41%,-$31.29,-163.42%,-$6.95,-114.10%,EXC,NASDAQ:EXC,-0.111,$51.35
